지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원)
삼척시,강원도,테슬라코리아,일반승용,(단종)Model Y Long Range,184,91,275
삼척시,강원도,테슬라코리아,일반승용,(단종)Model Y Performance,191,94,285
삼척시,강원도,테슬라코리아,일반승용,Model 3 Performance,187,92,279
삼척시,강원도,테슬라코리아,일반승용,(단종)Model Y Long Range 19인치,202,100,302
삼척시,강원도,테슬라코리아,일반승용,Model 3 RWD,186,92,278
삼척시,강원도,테슬라코리아,일반승용,New Model Y Long Range,207,102,309
삼척시,강원도,테슬라코리아,일반승용,New Model Y RWD,188,93,281
삼척시,강원도,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 40 e-tron,201,99,300
삼척시,강원도,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 Sportback 40 e-tron,202,100,302
삼척시,강원도,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 2024 ID.4 Pro,422,209,631
삼척시,강원도,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 ID.5 Pro,215,106,321
삼척시,강원도,폭스바겐그룹코리아,일반승용,폭스바겐 ID.4 Pro,422,209,631
삼척시,강원도,폭스바겐그룹코리아,일반승용,아우디 Q4 Sportback 45 e-tron,201,99,300
삼척시,강원도,폭스바겐그룹코리아,일반승용,아우디 Q4 45 e-tron,201,99,300
삼척시,강원도,폭스바겐그룹코리아,일반승용,아우디 Q6 e-tron performance,220,109,329
삼척시,강원도,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Single Motor,181,89,270
삼척시,강원도,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Dual Motor,141,70,211
삼척시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 17인치,500,231,731
삼척시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 15인치,500,231,731
삼척시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 기본형 15인치,500,231,731
삼척시,강원도,현대자동차,경·소형,캐스퍼 일렉트릭 크로스 17인치,500,231,731
삼척시,강원도,현대자동차,일반승용,GV60 스탠다드 2WD 19인치,287,142,429
삼척시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 19인치,261,129,390
삼척시,강원도,현대자동차,일반승용,GV60 스탠다드 AWD 20인치,251,124,375
삼척시,강원도,현대자동차,일반승용,GV60 퍼포먼스 AWD 21인치,236,117,353
삼척시,강원도,현대자동차,일반승용,Electrified GV70 AWD 20인치,244,121,365
삼척시,강원도,현대자동차,일반승용,Electrified GV70 AWD 19인치,260,129,389
삼척시,강원도,현대자동차,일반승용,아이오닉6 스탠다드 2WD 18인치,635,261,896
삼척시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 18인치,686,285,971
삼척시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 2WD 20인치,680,282,962
삼척시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 18인치,686,285,971
삼척시,강원도,현대자동차,일반승용,아이오닉6 롱레인지 AWD 20인치,647,266,913
삼척시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 스탠다드 17인치,573,221,794
삼척시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 17인치,623,260,883
삼척시,강원도,현대자동차,일반승용,코나 일렉트릭 2WD 롱레인지 19인치(빌트인 캠),568,232,800
삼척시,강원도,현대자동차,일반승용,아이오닉5 N,232,115,347
삼척시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,659,286,945
삼척시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 19인치,656,285,941
삼척시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 20인치,651,282,933
삼척시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 20인치,624,269,893
삼척시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 19인치,650,282,932
삼척시,강원도,현대자동차,일반승용,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,633,273,906
삼척시,강원도,현대자동차,일반승용,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,602,258,860
