데이터연도,지역,광역시도,제조사,차종,모델명,국비보조금(만원),지방비보조금(만원),총보조금(만원),수집일시
2025,가평군,경기도,기아,일반승용,더뉴EV6 롱레인지 4WD 19인치,646,393,"1,039",2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,더뉴EV6 롱레인지 2WD 19인치,655,400,"1,055",2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV3 롱레인지 2WD 17인치,565,389,954,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV3 롱레인지 2WD 19인치,565,389,954,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV3 스탠다드 2WD,479,330,809,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,더뉴EV6 GT,232,160,392,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,더뉴EV6 스탠다드,582,352,934,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV9 스탠다드,242,166,408,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV4 롱레인지 GTL 2WD 19인치,565,389,954,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV4 스탠다드 2WD 19인치,491,338,829,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV4 롱레인지 2WD 17인치,565,389,954,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV4 롱레인지 2WD 19인치,565,389,954,2025-07-13 20:18:16
2025,가평군,경기도,기아,일반승용,EV4 스탠다드 2WD 17인치,522,360,882,2025-07-13 20:18:16
2025,가평군,경기도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(5인승),152,104,256,2025-07-13 20:18:16
2025,가평군,경기도,메르세데스벤츠코리아,일반승용,(단종)EQB300 4MATIC(Pre-Facelift)(7인승),152,104,256,2025-07-13 20:18:16
2025,가평군,경기도,메르세데스벤츠코리아,일반승용,EQA250(Facelift),190,131,321,2025-07-13 20:18:16
2025,가평군,경기도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(5인승),154,106,260,2025-07-13 20:18:16
2025,가평군,경기도,메르세데스벤츠코리아,일반승용,EQB300 4MATIC(Facelift)(7인승),154,106,260,2025-07-13 20:18:16
2025,가평군,경기도,볼보자동차코리아,일반승용,볼보 EX30 Single Motor ER,247,170,417,2025-07-13 20:18:16
2025,가평군,경기도,비와이디코리아,일반승용,BYD ATTO 3,145,100,245,2025-07-13 20:18:16
2025,가평군,경기도,쎄보모빌리티,초소형,(단종)CEVO-C SE,200,137,337,2025-07-13 20:18:16
2025,가평군,경기도,케이지모빌리티,일반승용,토레스 EVX 2WD 18인치,373,245,618,2025-07-13 20:18:16
2025,가평군,경기도,케이지모빌리티,일반승용,토레스 EVX 2WD 20인치,356,233,589,2025-07-13 20:18:16
2025,가평군,경기도,케이지모빌리티,일반승용,코란도 EV 2WD,340,234,574,2025-07-13 20:18:16
2025,가평군,경기도,케이지모빌리티,일반승용,토레스 EVX 18인치,364,251,615,2025-07-13 20:18:16
2025,가평군,경기도,케이지모빌리티,일반승용,토레스 EVX 20인치,354,244,598,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,(단종)Model 3 RWD(2024),183,126,309,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,Model 3 Long Range,202,139,341,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,(단종)Model Y RWD,201,116,317,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,(단종)Model Y Long Range,184,126,310,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,(단종)Model Y Performance,191,131,322,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,Model 3 Performance,187,128,315,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,(단종)Model Y Long Range 19인치,202,139,341,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,Model 3 RWD,186,128,314,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,New Model Y Long Range,207,142,349,2025-07-13 20:18:16
2025,가평군,경기도,테슬라코리아,일반승용,New Model Y RWD,188,129,317,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 40 e-tron,201,138,339,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,(단종)아우디 Q4 Sportback 40 e-tron,202,139,341,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 2024 ID.4 Pro,422,291,713,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,(단종)폭스바겐 ID.5 Pro,215,148,363,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,폭스바겐 ID.4 Pro,422,291,713,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,아우디 Q4 Sportback 45 e-tron,201,138,339,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,아우디 Q4 45 e-tron,201,138,339,2025-07-13 20:18:16
2025,가평군,경기도,폭스바겐그룹코리아,일반승용,아우디 Q6 e-tron performance,220,151,371,2025-07-13 20:18:16
2025,가평군,경기도,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Single Motor,181,124,305,2025-07-13 20:18:16
2025,가평군,경기도,폴스타오토모티브코리아,일반승용,Polestar 4 Long Range Dual Motor,141,97,238,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 17인치,500,377,877,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,경·소형,캐스퍼 일렉트릭 항속형 15인치,500,377,877,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,경·소형,캐스퍼 일렉트릭 기본형 15인치,500,377,877,2025-07-13 20:18:16
2025,가평군,경기도,현대자동차,경·소형,캐스퍼 일렉트릭 크로스 17인치,500,377,877,2025-07-13 20:18:16
